catagory,date_time,duration,distance_in_km,pickup_by_postcode,dropoff_by_postcode,fare_euro,service_fee_euro,tax,earnings_euro,third_parties,tip,promotion,hour,day_name
UberX,2023-12-09 22:49:00,0:09:14,2.69,1053,1053,10.74,2.69,0.56,7.49,0.0,0.0,0.0,22,Saturday
UberX,2023-12-09 23:00:00,0:05:59,1.89,1012,1017,12.83,3.21,0.67,8.95,0.0,0.0,0.0,23,Saturday
UberX,2023-12-09 23:14:00,0:17:04,10.15,1017,1111,22.54,5.64,1.18,15.72,0.0,0.0,0.0,23,Saturday
Saver,2023-12-09 23:46:00,0:13:10,7.92,1111,1093,13.72,2.61,0.55,10.56,0.0,0.0,0.0,23,Saturday
Saver,2023-12-10 00:02:00,0:21:19,6.72,1093,1057,16.27,3.09,0.65,17.53,0.0,0.0,5.0,0,Sunday
UberX,2023-12-10 00:28:00,0:08:41,3.2,1057,1058,11.53,2.88,0.6,13.05,0.0,0.0,5.0,0,Sunday
UberX,2023-12-10 00:41:00,0:09:02,3.03,1058,1057,11.75,2.94,0.62,13.19,0.0,0.0,5.0,0,Sunday
UberX,2023-12-10 00:52:00,0:00:00,0.0,1052,1052,9.5,2.38,0.5,6.62,0.0,0.0,0.0,0,Sunday
UberX,2023-12-10 00:58:00,0:11:20,6.45,1015,1043,15.4,3.85,0.81,15.74,0.0,0.0,5.0,0,Sunday
UberX,2023-12-10 01:08:00,0:00:00,0.0,1053,1053,9.5,2.38,0.5,6.62,0.0,0.0,0.0,1,Sunday
UberX,2023-12-10 01:14:00,0:05:56,3.75,1043,1056,11.27,2.82,0.59,12.86,0.0,0.0,5.0,1,Sunday
UberX,2023-12-10 01:36:00,0:11:45,5.44,1015,1058,15.8,3.95,0.83,16.02,0.0,0.0,5.0,1,Sunday
UberX,2023-12-10 02:02:00,0:12:29,4.81,1058,1017,14.3,3.58,0.75,14.97,0.0,0.0,5.0,2,Sunday
UberX,2023-12-10 02:10:00,0:06:20,2.07,1017,1074,9.5,2.38,0.5,11.62,0.0,0.0,5.0,2,Sunday
UberX,2023-12-10 02:22:00,0:07:22,2.82,1017,1054,9.82,2.46,0.52,11.84,0.0,0.0,5.0,2,Sunday
Saver,2023-12-10 02:37:00,0:05:37,3.47,1054,1061,8.63,1.64,0.34,11.65,0.0,0.0,5.0,2,Sunday
UberX,2023-12-10 02:52:00,0:00:00,0.0,1056,1056,9.5,2.38,0.5,6.62,0.0,0.0,0.0,2,Sunday
Saver,2023-12-10 02:56:00,0:08:53,4.85,1057,1065,11.15,2.12,0.45,13.58,0.0,0.0,5.0,2,Sunday
Saver,2023-12-10 03:19:00,0:07:48,7.07,1059,1063,13.2,2.51,0.53,15.16,0.0,0.0,5.0,3,Sunday
Saver,2023-12-10 03:35:00,0:13:46,13.34,1043,1083,21.88,4.16,0.87,16.85,0.0,0.0,0.0,3,Sunday
Priority,2023-12-10 14:16:00,0:32:55,12.72,1186,1016,35.37,8.84,1.86,25.67,0.0,0.0,1.0,14,Sunday
UberX,2023-12-10 14:52:00,0:17:30,7.57,1015,1066,21.96,5.49,1.15,15.32,0.0,0.0,0.0,14,Sunday
Saver,2023-12-10 15:14:00,0:14:13,11.36,1062,1096,19.43,3.69,0.77,14.97,0.0,0.0,0.0,15,Sunday
UberX,2023-12-10 15:23:00,0:10:00,5.01,1096,1072,14.47,3.62,0.76,11.09,0.0,1.0,0.0,15,Sunday
Saver,2023-12-10 15:42:00,0:20:32,7.17,1072,1183,16.75,3.18,0.67,12.9,0.0,0.0,0.0,15,Sunday
Saver,2023-12-10 16:04:00,0:20:35,8.21,1185,1017,19.19,3.65,0.77,16.77,0.0,2.0,0.0,16,Sunday
UberX,2023-12-10 16:37:00,0:24:49,8.59,1071,1012,20.2,5.05,1.06,14.09,0.0,0.0,0.0,16,Sunday
UberX,2023-12-10 16:57:00,0:17:34,3.43,1015,1071,19.67,4.92,1.03,13.72,0.0,0.0,0.0,16,Sunday
UberX,2023-12-10 17:23:00,0:08:27,2.3,1071,1078,9.5,2.38,0.5,6.62,0.0,0.0,190.0,17,Sunday
Saver,2023-12-12 07:43:00,0:16:42,9.9,1186,1112,18.32,3.48,0.73,14.11,0.0,0.0,0.0,7,Tuesday
UberX,2023-12-12 07:57:00,0:05:22,1.74,1102,1102,14.4,3.6,0.76,10.04,0.0,0.0,0.0,7,Tuesday
UberX,2023-12-12 08:15:00,0:33:49,20.73,1107,1042,37.93,9.48,1.99,26.46,0.0,0.0,0.0,8,Tuesday
UberX,2023-12-12 08:56:00,0:33:42,3.59,1043,1013,11.8,2.95,0.62,8.23,0.0,0.0,0.0,8,Tuesday
UberX,2023-12-12 09:44:00,0:16:31,6.37,1013,1057,16.3,4.08,0.86,11.36,0.0,0.0,0.0,9,Tuesday
UberX,2023-12-12 10:12:00,0:18:17,6.34,1054,1011,15.87,3.97,0.83,11.07,0.0,0.0,0.0,10,Tuesday
UberX,2023-12-12 10:38:00,0:21:50,7.6,1012,1072,18.82,4.71,0.99,14.12,0.0,1.0,0.0,10,Tuesday
UberX,2023-12-12 11:24:00,0:10:03,2.64,1072,1018,9.36,2.34,0.49,6.53,0.0,0.0,0.0,11,Tuesday
UberX,2023-12-12 11:42:00,0:16:24,4.2,1018,1071,12.12,3.03,0.64,8.45,0.0,0.0,0.0,11,Tuesday
Saver,2023-12-12 12:02:00,0:08:15,2.44,1077,1077,8.0,1.52,0.32,6.16,0.0,0.0,0.0,12,Tuesday
UberX,2023-12-12 14:28:00,0:17:39,5.2,1077,1016,15.22,3.81,0.8,10.61,0.0,0.0,0.0,14,Tuesday
UberX,2023-12-12 14:54:00,0:19:46,4.99,1016,1078,14.41,3.6,0.76,10.05,0.0,0.0,0.0,14,Tuesday
UberX,2023-12-12 15:15:00,0:22:12,4.61,1078,1017,12.84,3.21,0.67,8.96,0.0,0.0,0.0,15,Tuesday
UberX,2023-12-12 15:38:00,0:06:43,1.53,1016,1071,9.9,2.48,0.52,6.9,0.0,0.0,0.0,15,Tuesday
UberX,2023-12-12 15:53:00,0:26:50,4.85,1071,1011,15.42,3.86,0.81,10.75,0.0,0.0,0.0,15,Tuesday
UberX,2023-12-12 16:23:00,0:27:29,8.5,1012,1013,20.5,5.13,1.08,14.29,0.0,0.0,0.0,16,Tuesday
UberX,2023-12-12 16:56:00,0:13:21,3.61,1013,1012,11.53,2.88,0.6,8.05,0.0,0.0,0.0,16,Tuesday
UberX,2023-12-12 17:21:00,0:35:10,5.39,1012,1096,17.35,4.34,0.91,12.1,0.0,0.0,0.0,17,Tuesday
UberX,2023-12-12 17:49:00,0:04:20,0.93,1096,1096,16.2,4.05,0.85,11.3,0.0,0.0,0.0,17,Tuesday
UberX,2023-12-12 17:59:00,0:15:37,15.54,1096,1185,26.61,6.65,1.4,20.56,0.0,2.0,0.0,17,Tuesday
Saver,2023-12-12 07:32:00,0:23:47,18.9,1185,1013,28.19,5.36,1.13,21.7,0.0,0.0,0.0,7,Tuesday
UberX,2023-12-12 08:03:00,0:06:59,2.96,1013,1012,9.21,2.3,0.48,6.43,0.0,0.0,0.0,8,Tuesday
Saver,2023-12-13 07:32:00,0:23:47,18.9,1185,1013,28.19,5.36,1.13,21.7,0.0,0.0,0.0,7,Wednesday
UberX,2023-12-13 08:03:00,0:06:59,2.96,1013,1012,9.21,2.3,0.48,6.43,0.0,0.0,0.0,8,Wednesday
UberX,2023-12-13 08:04:00,0:30:20,17.52,1012,1118,51.43,12.86,2.7,40.87,0.0,0.0,5.0,8,Wednesday
UberX,2023-12-13 09:52:00,0:20:03,15.62,1118,1015,28.54,7.06,2.2,19.28,5.65,0.0,0.0,9,Wednesday
Saver,2023-12-13 11:33:00,0:17:42,14.42,1054,1118,22.96,4.36,0.92,18.68,0.0,1.0,0.0,11,Wednesday
UberX,2023-12-13 11:58:00,0:11:12,11.11,1118,1076,20.39,5.02,1.77,13.6,5.22,0.0,0.0,11,Wednesday
UberX,2023-12-13 13:54:00,0:15:42,4.26,1053,1091,15.14,3.79,0.8,10.55,0.0,0.0,0.0,13,Wednesday
UberX,2023-12-13 14:12:00,0:12:23,8.0,1092,1102,17.8,4.45,0.93,12.42,0.0,0.0,0.0,14,Wednesday
Saver,2023-12-13 14:56:00,0:12:28,11.75,1112,1059,17.82,3.39,0.71,13.72,0.0,0.0,0.0,14,Wednesday
UberX,2023-12-13 15:14:00,0:11:18,5.36,1062,1043,14.59,3.65,0.77,10.17,0.0,0.0,0.0,15,Wednesday
UberX,2023-12-13 15:26:00,0:16:44,4.83,1055,1071,15.31,3.83,0.8,10.68,0.0,0.0,0.0,15,Wednesday
UberX,2023-12-13 15:52:00,0:14:42,4.78,1071,1181,13.75,3.44,0.72,9.59,0.0,0.0,0.0,15,Wednesday
UberX,2023-12-13 16:17:00,0:22:50,7.17,1181,1072,19.23,4.81,1.01,18.41,0.0,5.0,0.0,16,Wednesday
UberX,2023-12-13 16:47:00,0:12:49,3.55,1072,1018,10.69,2.67,0.56,8.46,0.0,1.0,0.0,16,Wednesday
UberX,2023-12-13 17:03:00,0:13:56,3.41,1018,1071,10.3,2.58,0.54,9.18,0.0,2.0,0.0,17,Wednesday
UberX,2023-12-13 17:15:00,0:18:35,5.1,1071,1062,15.39,3.85,0.81,10.73,0.0,0.0,0.0,17,Wednesday
UberX,2023-12-13 17:42:00,0:18:48,4.38,1058,1015,13.86,3.47,0.73,9.66,0.0,0.0,0.0,17,Wednesday
UberX,2023-12-13 18:02:00,0:08:40,2.33,1015,1017,9.9,2.48,0.52,7.9,0.0,1.0,0.0,18,Wednesday
UberX,2023-12-13 18:22:00,0:15:51,4.97,1017,1076,17.56,4.39,0.92,12.25,0.0,0.0,0.0,18,Wednesday
UberX,2023-12-13 18:41:00,0:10:19,4.84,1077,1181,13.63,3.41,0.72,14.5,0.0,5.0,40.0,18,Wednesday
Saver,2023-12-14 08:18:00,0:22:00,15.72,1188,1104,24.34,4.62,0.97,18.75,0.0,0.0,0.0,8,Thursday
UberX,2023-12-14 09:13:00,0:13:28,7.01,1077,1066,18.24,4.56,0.96,12.72,0.0,0.0,0.0,9,Thursday
UberX,2023-12-14 09:49:00,0:10:19,8.09,1066,1077,17.56,4.39,0.92,12.25,0.0,0.0,0.0,9,Thursday
UberX,2023-12-14 10:07:00,0:08:22,2.76,1077,1075,9.0,2.25,0.47,6.28,0.0,0.0,0.0,10,Thursday
UberX,2023-12-14 10:33:00,0:18:07,13.56,1075,1118,24.97,6.24,1.31,17.42,0.0,0.0,0.0,10,Thursday
UberX,2023-12-14 11:21:00,0:16:29,13.24,1118,1054,27.6,6.82,2.15,18.63,5.6,0.0,0.0,11,Thursday
Saver,2023-12-14 11:57:00,0:11:05,2.8,1054,1057,8.0,1.52,0.32,6.16,0.0,0.0,0.0,11,Thursday
UberX,2023-12-14 12:14:00,0:18:07,5.93,1057,1011,13.97,3.49,0.73,9.75,0.0,0.0,0.0,12,Thursday
UberX,2023-12-14 13:02:00,0:02:41,0.71,1012,1013,9.41,2.35,0.49,6.57,0.0,0.0,0.0,13,Thursday
UberX,2023-12-14 13:11:00,0:03:11,0.84,1012,1013,9.0,2.25,0.47,6.28,0.0,0.0,0.0,13,Thursday
UberX,2023-12-14 13:32:00,0:16:14,5.7,1012,1018,15.7,3.93,0.83,11.94,0.0,1.0,0.0,13,Thursday
Saver,2023-12-14 15:22:00,0:29:39,9.08,1031,1013,17.93,3.41,0.72,13.8,0.0,0.0,0.0,15,Thursday
UberX,2023-12-14 15:58:00,0:16:32,4.17,1015,1072,13.92,3.48,0.73,9.71,0.0,0.0,0.0,15,Thursday
UberX,2023-12-14 16:29:00,0:17:49,4.43,1077,1011,13.9,3.48,0.73,9.69,0.0,0.0,0.0,16,Thursday
UberX,2023-12-14 16:57:00,0:16:08,4.04,1011,1077,15.17,3.79,0.8,10.58,0.0,0.0,0.0,16,Thursday
UberX,2023-12-14 17:08:00,0:22:04,3.7,1077,1017,11.7,2.93,0.62,10.15,0.0,2.0,0.0,17,Thursday
UberX,2023-12-14 17:36:00,0:20:52,5.15,1017,1081,17.58,4.4,0.92,12.26,0.0,0.0,0.0,17,Thursday
UberX,2023-12-14 18:01:00,0:25:58,7.09,1082,1051,29.12,7.28,1.53,20.31,0.0,0.0,0.0,18,Thursday
UberX,2023-12-14 18:41:00,0:52:20,12.92,1012,1114,35.24,8.81,1.85,24.58,0.0,0.0,25.0,18,Thursday
UberX,2023-12-15 09:14:00,0:20:54,7.59,1182,1071,19.21,4.8,1.01,13.4,0.0,0.0,0.0,9,Friday
UberX,2023-12-15 09:43:00,0:14:29,4.24,1053,1076,13.99,3.5,0.74,9.75,0.0,0.0,0.0,9,Friday
Saver,2023-12-15 10:18:00,0:10:04,3.63,1082,1075,10.19,1.94,0.41,7.84,0.0,0.0,0.0,10,Friday
UberX,2023-12-15 10:38:00,0:07:38,2.57,1077,1072,10.3,2.58,0.54,7.18,0.0,0.0,0.0,10,Friday
UberX,2023-12-15 10:51:00,0:18:51,4.91,1017,1013,18.1,4.53,0.95,12.62,0.0,0.0,0.0,10,Friday
UberX,2023-12-15 11:08:00,0:22:09,14.84,1013,1079,30.67,7.67,1.61,21.39,0.0,0.0,0.0,11,Friday
UberX,2023-12-15 12:11:00,0:18:42,7.57,1082,1093,20.53,5.13,1.08,14.32,0.0,0.0,0.0,12,Friday
UberX,2023-12-15 12:33:00,0:09:48,3.51,1094,1011,13.2,3.3,0.69,9.21,0.0,0.0,0.0,12,Friday
UberX,2023-12-15 12:44:00,0:18:36,5.58,1012,1017,17.73,4.43,0.93,12.37,0.0,0.0,0.0,12,Friday
UberX,2023-12-15 13:07:00,0:16:12,7.1,1054,1043,19.1,4.78,1.0,13.32,0.0,0.0,0.0,13,Friday
UberX,2023-12-15 13:31:00,0:14:10,5.63,1043,1015,16.56,4.14,0.87,11.55,0.0,0.0,0.0,13,Friday
UberX,2023-12-15 13:59:00,0:09:00,3.32,1016,1012,14.96,3.74,0.79,10.43,0.0,0.0,0.0,13,Friday
UberX,2023-12-15 14:26:00,0:15:54,5.34,1012,1093,15.94,3.99,0.84,13.11,0.0,2.0,0.0,14,Friday
UberX,2023-12-15 14:49:00,0:06:42,1.88,1093,1018,9.5,2.38,0.5,6.62,0.0,0.0,0.0,14,Friday
Saver,2023-12-15 15:15:00,0:11:22,3.24,1018,1098,10.53,2.0,0.42,8.11,0.0,0.0,0.0,15,Friday
Priority,2023-12-15 15:49:00,0:06:16,1.69,1096,1091,17.5,4.38,0.92,12.2,0.0,0.0,0.0,15,Friday
UberX,2023-12-15 15:57:00,0:07:49,2.2,1092,1079,9.86,2.47,0.52,6.87,0.0,0.0,0.0,15,Friday
Saver,2023-12-15 16:11:00,0:09:45,4.32,1079,1054,11.32,2.15,0.45,8.72,0.0,0.0,0.0,16,Friday
UberX,2023-12-15 16:38:00,0:25:30,16.63,1076,1012,35.69,8.92,1.87,26.9,0.0,2.0,0.0,16,Friday
UberX,2023-12-15 17:16:00,0:00:00,0.0,1019,1019,9.5,2.38,0.5,6.62,0.0,0.0,0.0,17,Friday
UberX,2023-12-15 17:24:00,0:13:18,3.89,1011,1018,16.17,4.04,0.85,11.28,0.0,0.0,0.0,17,Friday
UberX,2023-12-15 17:37:00,0:11:29,2.55,1018,1072,11.23,2.81,0.59,7.83,0.0,0.0,0.0,17,Friday
UberX,2023-12-15 17:52:00,0:16:14,4.23,1017,1083,17.53,4.38,0.92,12.23,0.0,0.0,0.0,17,Friday
UberX,2023-12-15 18:15:00,0:12:39,6.03,1082,1183,20.76,5.19,1.09,14.48,0.0,0.0,0.0,18,Friday
UberX,2023-12-16 08:54:00,0:08:55,6.25,1186,1077,15.67,3.92,0.82,10.93,0.0,0.0,0.0,8,Saturday
UberX,2023-12-16 09:16:00,0:11:27,4.57,1082,1072,13.98,3.5,0.74,9.74,0.0,0.0,0.0,9,Saturday
UberX,2023-12-16 09:33:00,0:10:11,3.26,1015,1075,10.82,2.71,0.57,7.54,0.0,0.0,0.0,9,Saturday
UberX,2023-12-16 09:49:00,0:05:55,1.98,1071,1054,9.5,2.38,0.5,6.62,0.0,0.0,0.0,9,Saturday
UberX,2023-12-16 10:19:00,0:08:44,2.16,1054,1077,9.5,2.38,0.5,6.62,0.0,0.0,0.0,10,Saturday
UberX,2023-12-16 10:33:00,0:18:28,14.64,1078,1118,29.49,7.37,1.55,20.57,0.0,0.0,0.0,10,Saturday
UberX,2023-12-16 11:51:00,0:16:57,14.71,1118,1072,26.01,6.43,2.07,17.51,5.52,0.0,0.0,11,Saturday
UberX,2023-12-16 12:22:00,0:22:08,5.75,1073,1015,15.44,3.86,0.81,12.77,0.0,2.0,0.0,12,Saturday
UberX,2023-12-16 12:55:00,0:08:15,3.13,1015,1051,10.6,2.65,0.56,7.39,0.0,0.0,0.0,12,Saturday
UberX,2023-12-16 13:06:00,0:12:31,3.26,1014,1016,11.71,2.93,0.62,8.16,0.0,0.0,0.0,13,Saturday
UberX,2023-12-16 13:21:00,0:12:33,3.33,1016,1055,11.0,2.75,0.58,7.67,0.0,0.0,0.0,13,Saturday
UberX,2023-12-16 14:47:00,0:19:28,5.59,1015,1018,15.89,3.97,0.83,11.09,0.0,0.0,0.0,14,Saturday
UberX,2023-12-16 15:26:00,0:00:00,0.0,1011,1011,9.5,2.38,0.5,6.62,0.0,0.0,0.0,15,Saturday
UberX,2023-12-16 15:39:00,0:21:53,9.04,1011,1043,27.57,6.89,1.45,19.23,0.0,0.0,0.0,15,Saturday
Saver,2023-12-16 16:11:00,0:13:37,11.8,1014,1079,18.43,3.5,0.74,14.19,0.0,0.0,0.0,16,Saturday
Priority,2023-12-18 12:34:00,0:15:58,12.81,1187,1118,27.95,6.99,1.47,19.49,0.0,0.0,0.0,12,Monday
UberX,2023-12-18 12:59:00,0:24:38,27.54,1118,1031,44.05,10.94,3.02,30.09,6.47,0.0,0.0,12,Monday
UberX,2023-12-18 13:34:00,0:19:18,8.13,1031,1013,18.78,4.7,0.99,13.09,0.0,0.0,0.0,13,Monday
UberX,2023-12-18 13:52:00,0:07:03,2.41,1013,1016,9.0,2.25,0.47,6.28,0.0,0.0,0.0,13,Monday
UberX,2023-12-18 14:04:00,0:21:59,16.76,1016,1118,32.63,8.16,1.71,22.76,0.0,0.0,0.0,14,Monday
UberX,2023-12-18 15:40:00,0:18:57,13.53,1118,1071,24.95,6.16,2.01,16.78,5.46,0.0,0.0,15,Monday
UberX,2023-12-18 16:15:00,0:13:52,3.19,1071,1077,10.57,2.64,0.55,7.38,0.0,0.0,0.0,16,Monday
UberX,2023-12-18 16:34:00,0:19:13,5.13,1077,1015,15.56,3.89,0.82,13.85,0.0,3.0,0.0,16,Monday
UberX,2023-12-18 17:13:00,0:18:36,6.96,1016,1059,19.5,4.88,1.02,13.6,0.0,0.0,0.0,17,Monday
Priority,2023-12-18 17:32:00,0:27:33,6.34,1062,1052,20.0,5.0,1.05,13.95,0.0,0.0,0.0,17,Monday
UberX,2023-12-18 18:17:00,0:00:00,0.0,1075,1075,9.0,2.25,0.47,6.28,0.0,0.0,0.0,18,Monday
UberX,2023-12-18 18:24:00,0:18:34,8.72,1075,1186,19.19,4.8,1.01,13.38,0.0,0.0,0.0,18,Monday
UberX,2023-12-19 08:45:00,0:13:27,5.22,1185,1181,16.45,4.11,0.86,11.48,0.0,0.0,0.0,8,Tuesday
UberX,2023-12-19 08:59:00,0:23:10,14.36,1183,1043,25.44,6.36,1.34,17.74,0.0,0.0,0.0,8,Tuesday
UberX,2023-12-19 09:59:00,0:17:35,8.61,1055,1060,17.91,4.48,0.94,12.49,0.0,0.0,0.0,9,Tuesday
Saver,2023-12-19 10:28:00,0:17:13,15.77,1069,1119,22.46,4.27,0.9,17.29,0.0,0.0,0.0,10,Tuesday
UberX,2023-12-19 11:26:00,0:25:26,22.6,1118,1018,41.09,10.2,2.86,28.03,6.31,0.0,0.0,11,Tuesday
UberX,2023-12-19 11:43:00,0:16:51,5.51,1018,1015,15.02,3.76,0.79,10.47,0.0,0.0,0.0,11,Tuesday
UberX,2023-12-19 12:16:00,0:20:08,5.17,1012,1013,14.63,3.66,0.77,10.2,0.0,0.0,0.0,12,Tuesday
UberX,2023-12-19 12:42:00,0:18:34,4.6,1018,1016,13.9,3.48,0.73,9.69,0.0,0.0,0.0,12,Tuesday
UberX,2023-12-19 13:07:00,0:17:12,4.8,1016,1018,15.24,3.81,0.8,10.63,0.0,0.0,0.0,13,Tuesday
UberX,2023-12-19 13:34:00,0:10:51,5.11,1018,1032,14.69,3.67,0.77,12.25,0.0,2.0,0.0,13,Tuesday
UberX,2023-12-19 14:57:00,0:19:12,6.16,1021,1012,1012.0,4.26,0.89,11.87,0.0,0.0,0.0,14,Tuesday
UberX,2023-12-19 15:09:00,0:21:10,6.44,1011,1018,15.27,3.82,0.8,10.65,0.0,0.0,0.0,15,Tuesday
UberX,2023-12-19 15:55:00,0:22:01,5.12,1017,1012,16.34,4.09,0.86,11.39,0.0,0.0,0.0,15,Tuesday
UberX,2023-12-19 16:32:00,0:18:08,3.61,1013,1054,12.15,3.04,0.64,8.47,0.0,0.0,0.0,16,Tuesday
UberX,2023-12-19 17:01:00,0:12:26,3.37,1071,1011,14.83,3.71,0.78,10.34,0.0,0.0,0.0,17,Tuesday
UberX,2023-12-19 17:17:00,0:26:47,4.8,1018,1052,17.8,4.45,0.93,12.42,0.0,0.0,0.0,17,Tuesday
UberX,2023-12-19 17:49:00,0:31:36,5.18,1016,1079,16.59,4.15,0.87,12.57,0.0,1.0,0.0,17,Tuesday
UberX,2023-12-19 18:17:00,0:08:29,2.46,1079,1077,12.1,3.03,0.64,8.43,0.0,0.0,0.0,18,Tuesday
UberX,2023-12-19 18:46:00,0:14:24,8.19,1079,1185,18.37,4.59,0.96,12.82,0.0,0.0,0.0,18,Tuesday
Saver,2023-12-20 07:54:00,0:32:19,13.05,1186,1016,24.98,4.75,1.0,19.23,0.0,0.0,0.0,7,Wednesday
UberX,2023-12-20 08:40:00,0:10:43,4.26,1015,1013,12.62,3.16,0.66,8.8,0.0,0.0,0.0,8,Wednesday
Saver,2023-12-20 08:44:00,0:05:51,3.16,1013,1043,8.0,1.52,0.32,6.16,0.0,0.0,0.0,8,Wednesday
Priority,2023-12-20 09:08:00,0:16:40,15.44,1014,1118,30.91,7.73,1.62,26.56,0.0,5.0,0.0,9,Wednesday
Saver,2023-12-20 10:13:00,0:17:48,6.18,1066,1016,12.5,2.38,0.5,9.62,0.0,0.0,0.0,10,Wednesday
UberX,2023-12-20 10:36:00,0:12:44,3.6,1016,1055,11.05,2.76,0.58,7.71,0.0,0.0,0.0,10,Wednesday
UberX,2023-12-20 10:51:00,0:06:35,1.95,1014,1043,9.0,2.25,0.47,6.28,0.0,0.0,0.0,10,Wednesday
UberX,2023-12-20 11:13:00,0:08:57,2.94,1056,1043,9.0,2.25,0.47,6.28,0.0,0.0,0.0,11,Wednesday
UberX,2023-12-20 11:35:00,0:05:58,2.47,1043,1056,9.0,2.25,0.47,6.28,0.0,0.0,0.0,11,Wednesday
Saver,2023-12-20 12:22:00,0:10:59,4.46,1055,1014,10.03,1.91,0.4,7.72,0.0,0.0,0.0,12,Wednesday
Saver,2023-12-20 13:08:00,0:20:33,18.1,1013,1118,23.96,4.55,0.96,19.45,0.0,1.0,0.0,13,Wednesday
UberX,2023-12-20 14:30:00,0:15:32,5.12,1171,1068,14.35,3.59,0.75,10.01,0.0,0.0,0.0,14,Wednesday
UberX,2023-12-20 14:52:00,0:09:01,3.36,1068,1061,11.03,2.76,0.58,7.69,0.0,0.0,0.0,14,Wednesday
UberX,2023-12-20 15:05:00,0:13:14,5.82,1061,1071,15.43,3.86,0.81,10.76,0.0,0.0,0.0,15,Wednesday
UberX,2023-12-20 15:21:00,0:03:40,0.86,1071,1054,9.0,2.25,0.47,6.28,0.0,0.0,0.0,15,Wednesday
UberX,2023-12-20 15:36:00,0:22:14,2.26,1054,1077,10.16,2.54,0.53,7.09,0.0,0.0,0.0,15,Wednesday
UberX,2023-12-20 16:14:00,0:19:32,4.95,1076,1015,15.22,3.81,0.8,10.61,0.0,0.0,0.0,16,Wednesday
Saver,2023-12-20 16:40:00,0:11:00,3.29,1053,1013,8.94,1.7,0.36,6.88,0.0,0.0,0.0,16,Wednesday
UberX,2023-12-20 17:01:00,0:23:59,3.45,1051,1071,12.74,3.19,0.67,8.88,0.0,0.0,0.0,17,Wednesday
UberX,2023-12-20 17:38:00,0:21:55,4.9,1017,1014,13.13,3.28,0.69,9.16,0.0,0.0,0.0,17,Wednesday
UberX,2023-12-20 18:03:00,0:19:31,3.41,1052,1054,12.9,3.23,0.68,8.99,0.0,0.0,0.0,18,Wednesday
